filename,citystatename,cityname,statename,airshedsize
kanpur,"Kanpur, UP",Kanpur,UP,40 x 40
khurja,"Khurja, UP",Khurja,UP,30 x 30
lucknow,"Lucknow, UP",Lucknow,UP,60 x 60
meerut,"Meerut, UP",Meerut,UP,30 x 30
moradabad,"Moradabad, UP",Moradabad,UP,30 x 30
raebareli,"Raebareli, UP",Raebareli,UP,30 x 30
varanasi,"Varanasi, UP",Varanasi,UP,40 x 40
dehradun,"Dehradun, UK",Dehradun,UK,30 x 30
kashipur,"Kashipur, UK",Kashipur,UK,30 x 30
rishikesh,"Rishikesh, UK",Rishikesh,UK,30 x 30
asansol,"Asansol, WB",Asansol,WB,60 x 40
haldia,"Haldia, WB",Haldia,WB,40 x 40
kolkata,"Kolkata, WB",Kolkata,WB,60 x 60
