Date, ERA5 2m Air Temperature (K) 10N-20N;30E-40E
2002-01-01,  293.936
2002-02-01,  297.899
2002-03-01,  300.040
2002-04-01,  302.785
2002-05-01,  303.784
2002-06-01,  303.327
2002-07-01,  302.806
2002-08-01,  301.573
2002-09-01,  301.883
2002-10-01,  301.574
2002-11-01,  299.728
2002-12-01,  295.688
2003-01-01,  296.384
2003-02-01,  297.574
2003-03-01,  299.402
2003-04-01,  302.570
2003-05-01,  304.632
2003-06-01,  303.039
2003-07-01,  301.056
2003-08-01,  300.888
2003-09-01,  301.378
2003-10-01,  301.563
2003-11-01,  299.399
2003-12-01,  296.474
2004-01-01,  296.007
2004-02-01,  296.491
2004-03-01,  300.010
2004-04-01,  302.506
2004-05-01,  304.538
2004-06-01,  302.613
2004-07-01,  301.960
2004-08-01,  301.422
2004-09-01,  301.630
2004-10-01,  301.438
2004-11-01,  299.372
2004-12-01,  296.195
2005-01-01,  294.773
2005-02-01,  299.524
2005-03-01,  300.180
2005-04-01,  303.182
2005-05-01,  302.948
2005-06-01,  303.054
2005-07-01,  301.265
2005-08-01,  301.561
2005-09-01,  301.716
2005-10-01,  301.116
2005-11-01,  298.686
2005-12-01,  298.003
2006-01-01,  297.205
2006-02-01,  298.617
2006-03-01,  299.892
2006-04-01,  301.926
2006-05-01,  303.370
2006-06-01,  303.470
2006-07-01,  301.903
2006-08-01,  301.168
2006-09-01,  301.195
2006-10-01,  301.368
2006-11-01,  297.795
2006-12-01,  294.879
2007-01-01,  294.242
2007-02-01,  296.945
2007-03-01,  300.007
2007-04-01,  302.611
2007-05-01,  304.593
2007-06-01,  302.649
2007-07-01,  300.126
2007-08-01,  300.756
2007-09-01,  300.989
2007-10-01,  301.078
2007-11-01,  299.392
2007-12-01,  296.922
2008-01-01,  295.569
2008-02-01,  296.535
2008-03-01,  301.118
2008-04-01,  302.597
2008-05-01,  303.355
2008-06-01,  303.153
2008-07-01,  301.817
2008-08-01,  301.571
2008-09-01,  301.636
2008-10-01,  300.410
2008-11-01,  299.038
2008-12-01,  297.400
2009-01-01,  296.848
2009-02-01,  298.771
2009-03-01,  299.693
2009-04-01,  303.751
2009-05-01,  303.845
2009-06-01,  304.401
2009-07-01,  302.050
2009-08-01,  301.830
2009-09-01,  302.363
2009-10-01,  301.545
2009-11-01,  299.083
2009-12-01,  296.476
2010-01-01,  297.314
2010-02-01,  298.842
2010-03-01,  300.578
2010-04-01,  303.479
2010-05-01,  304.084
2010-06-01,  303.863
2010-07-01,  301.520
2010-08-01,  301.322
2010-09-01,  301.414
2010-10-01,  301.785
2010-11-01,  300.227
2010-12-01,  296.917
2011-01-01,  294.990
2011-02-01,  298.207
2011-03-01,  299.171
2011-04-01,  302.409
2011-05-01,  303.324
2011-06-01,  303.664
2011-07-01,  302.377
2011-08-01,  301.312
2011-09-01,  300.991
2011-10-01,  301.192
2011-11-01,  297.204
2011-12-01,  296.324
2012-01-01,  294.920
2012-02-01,  298.253
2012-03-01,  299.239
2012-04-01,  302.667
2012-05-01,  304.256
2012-06-01,  303.415
2012-07-01,  301.682
2012-08-01,  301.072
2012-09-01,  301.407
2012-10-01,  301.426
2012-11-01,  299.092
2012-12-01,  296.587
2013-01-01,  296.903
2013-02-01,  298.797
2013-03-01,  301.137
2013-04-01,  302.472
2013-05-01,  304.334
2013-06-01,  303.410
2013-07-01,  302.241
2013-08-01,  300.322
2013-09-01,  301.567
2013-10-01,  300.707
2013-11-01,  299.279
2013-12-01,  296.054
2014-01-01,  296.494
2014-02-01,  297.253
2014-03-01,  300.649
2014-04-01,  303.163
2014-05-01,  303.293
2014-06-01,  303.489
2014-07-01,  301.702
2014-08-01,  300.856
2014-09-01,  301.203
2014-10-01,  300.562
2014-11-01,  298.861
2014-12-01,  297.506
2015-01-01,  295.264
2015-02-01,  299.109
2015-03-01,  301.701
2015-04-01,  301.795
2015-05-01,  304.144
2015-06-01,  303.687
2015-07-01,  303.127
2015-08-01,  302.589
2015-09-01,  303.025
2015-10-01,  302.388
2015-11-01,  299.569
2015-12-01,  295.321
2016-01-01,  295.101
2016-02-01,  298.064
2016-03-01,  302.662
2016-04-01,  303.519
2016-05-01,  303.949
2016-06-01,  304.064
2016-07-01,  301.652
2016-08-01,  301.241
2016-09-01,  302.308
2016-10-01,  302.152
